,subtype
GSM1116084,Breast cancer
GSM1116085,Breast cancer
GSM1116086,Breast cancer
GSM1116087,Breast cancer
GSM1116088,Breast cancer
GSM1116089,Breast cancer
GSM1116090,Breast cancer
GSM1116091,Breast cancer
GSM1116092,Breast cancer
GSM1116093,Breast cancer
GSM1116094,Breast cancer
GSM1116095,Breast cancer
GSM1116096,Breast cancer
GSM1116097,Breast cancer
GSM1116098,Breast cancer
GSM1116099,Breast cancer
GSM1116100,Breast cancer
GSM1116101,Breast cancer
GSM1116102,Breast cancer
GSM1116103,Breast cancer
GSM1116104,Breast cancer
GSM1116105,Breast cancer
GSM1116106,Breast cancer
GSM1116107,Breast cancer
GSM1116108,Breast cancer
GSM1116109,Breast cancer
GSM1116110,Breast cancer
GSM1116111,Breast cancer
GSM1116112,Breast cancer
GSM1116113,Breast cancer
GSM1116114,Breast cancer
GSM1116115,Breast cancer
GSM1116116,Breast cancer
GSM1116117,Breast cancer
GSM1116118,Breast cancer
GSM1116119,Breast cancer
GSM1116120,Breast cancer
GSM1116121,Breast cancer
GSM1116122,Breast cancer
GSM1116123,Breast cancer
GSM1116124,Breast cancer
GSM1116125,Breast cancer
GSM1116126,Breast cancer
GSM1116127,Breast cancer
GSM1116128,Breast cancer
GSM1116129,Breast cancer
GSM1116130,Breast cancer
GSM1116131,Breast cancer
GSM1116132,Breast cancer
GSM1116133,Breast cancer
GSM1116134,Breast cancer
GSM1116135,Breast cancer
GSM1116136,Breast cancer
GSM1116137,Breast cancer
GSM1116138,Breast cancer
GSM1116139,Breast cancer
GSM1116140,Breast cancer
GSM1116141,Breast cancer
GSM1116142,Breast cancer
GSM1116143,Breast cancer
GSM1116144,Breast cancer
GSM1116145,Breast cancer
GSM1116146,Breast cancer
GSM1116147,Breast cancer
GSM1116148,Breast cancer
GSM1116149,Breast cancer
GSM1116150,Breast cancer
GSM1116151,Breast cancer
GSM1116152,Breast cancer
GSM1116153,Breast cancer
GSM1116154,Breast cancer
GSM1116155,BT20
GSM1116156,HCC70
GSM1116157,HCC1143
GSM1116158,HCC1187
GSM1116159,HCC1937
GSM1116160,MDA-MB-468
GSM1116161,HCC38
GSM1116162,MDA-MB-231
GSM1116163,MDA-MB-436
GSM1116164,MDA-MB-157
GSM1116165,BT-549
GSM1116166,Hs 578T
GSM1116167,MCF-12A
GSM1116168,184B5
GSM1116169,None (normal)
GSM1116170,None (normal)
GSM1116171,None (normal)
GSM1116172,None (normal)
GSM1116173,None (normal)
GSM1116174,None (normal)
GSM1116175,None (normal)
GSM1116176,None (normal)
GSM1116177,None (normal)
GSM1116178,None (normal)
GSM1116179,None (normal)
GSM1116180,Breast cancer
GSM1116181,Breast cancer
GSM1116182,Breast cancer
GSM1116183,Breast cancer
GSM1116184,Breast cancer
GSM1116185,Breast cancer
GSM1116186,Breast cancer
GSM1116187,Breast cancer
GSM1116188,Breast cancer
GSM1116189,Breast cancer
GSM1116190,Breast cancer
GSM1116191,Breast cancer
GSM1116192,Breast cancer
GSM1116193,Breast cancer
GSM1116194,Breast cancer
GSM1116195,Breast cancer
GSM1116196,Breast cancer
GSM1116197,Breast cancer
GSM1116198,Breast cancer
GSM1116199,Breast cancer
GSM1116200,Breast cancer
GSM1116201,Breast cancer
GSM1116202,Breast cancer
GSM1116203,Breast cancer
GSM1116204,Breast cancer
GSM1116205,Breast cancer
GSM1116206,Breast cancer
GSM1116207,Breast cancer
GSM1116208,Breast cancer
GSM1116209,Breast cancer
GSM1116210,Breast cancer
GSM1116211,Breast cancer
GSM1116212,Breast cancer
GSM1116213,Breast cancer
GSM1116214,Breast cancer
GSM1116215,Breast cancer
GSM1116216,Breast cancer
GSM1116217,Breast cancer
GSM1116218,Breast cancer
GSM1116219,Breast cancer
GSM1116220,Breast cancer
GSM1116221,Breast cancer
GSM1116222,Breast cancer
GSM1116223,Breast cancer
GSM1116224,Breast cancer
GSM1116225,Breast cancer
GSM1116226,Breast cancer
GSM1116227,Breast cancer
GSM1116228,Breast cancer
GSM1116229,Breast cancer
GSM1116230,Breast cancer
GSM1116231,Breast cancer
GSM1116232,Breast cancer
GSM1116233,Breast cancer
GSM1116234,Breast cancer
GSM1116235,Breast cancer
GSM1116236,Breast cancer
GSM1116237,Breast cancer
GSM1116238,Breast cancer
